id,title,section_name,is_active,click_count,has_image,has_video,has_cta,cta_label,cta_url,created_at,updated_at
1,Hyper-Personalized Paths,Leadership That Innovates,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
3,Custom Course Builder,Leadership That Innovates,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
2,Elite Global Network,Leadership That Innovates,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
4,Government & Policy,Designed for Every Sphere of Influence,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
5,Corporate & Executive,Designed for Every Sphere of Influence,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
6,SME & Startup,Designed for Every Sphere of Influence,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
7,Household & Community,Designed for Every Sphere of Influence,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
8,National Cyber Resilience System,Specialized Systems Showcase,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
9,Executive AI Transformation Suite,Specialized Systems Showcase,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
10,SME Cloud Adoption Toolkit,Specialized Systems Showcase,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
11,Community Digital Organization Framework,Specialized Systems Showcase,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
12,Critical Cyber Alerts,Real-time Executive Briefings & Alerts,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
13,Technology Intelligence,Real-time Executive Briefings & Alerts,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
14,On-Demand Analyst Access,Real-time Executive Briefings & Alerts,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
15,The New Mandate: Leadership Shaping the Future,Exclusive Research & Future Insights,True,0,True,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
16,The Inevitable Shift: Technology Shaping the Future,Exclusive Research & Future Insights,True,0,True,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
17,98%,Measuring Global Impact,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
18,+35%,Measuring Global Impact,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
19,20+,Measuring Global Impact,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
20,50+,Measuring Global Impact,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
21,Self-Service Builder,Customize Your Leadership Journey,True,0,False,False,True,Access Course Builder →,https://ethiotechleaders.com/page/,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
22,Expert Guidance & Consultation,Customize Your Leadership Journey,True,0,False,False,False,Request Consultation,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
23,Contact Us,Get In Touch,True,0,False,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
24,Mr. Ephrem Gebeyehu,Our Teams,True,0,True,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
25,Sara Ayele,Our Teams,True,0,True,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
26,Daniel Ayele,Our Teams,True,0,True,False,False,,,2025-11-19 11:11:15.483973+00:00,2025-11-19 11:11:15.492010+00:00
